Register	Address	Value1	Value2
PH23.AMP18L	05EB	75	8A
PH23.AMP18U*	05EC	2D	12
PH23.AMP19L	05ED	76	89
PH23.AMP19U*	05EE	2E	11
PH23.AMP20L	05EF	77	88
PH23.AMP20U*	05F0	2F	10
PH23.AMP21L	05F1	78	87
PH23.AMP21U*	05F2	30	0F
PH23.AMP22L	05F3	79	86
PH23.AMP22U*	05F4	31	0E
PH23.AMP23L	05F5	7A	85
PH23.AMP23U*	05F6	32	0D
PH23.AMP24L	05F7	7B	84
PH23.AMP24U*	05F8	33	0C
PH23.AMP25L	05F9	7C	83
PH23.AMP25U*	05FA	34	0B
PH23.AMP26L	05FB	7D	82
PH23.AMP26U*	05FC	35	0A
PH23.PG_TIMEOUT	05FD	7E	81
---	05FE	---	---
---	05FF	---	---
PH24.CTL1*	0600	75	82
PH24.CTL2*	0601	36	09
PH24.STPA	0602	7F	80
PH24.STPB	0603	80	7F
PH24.STPC	0604	81	7E
PH24.OFST	0605	82	7D
PH24.DLYL	0606	83	7C
PH24.DLYU	0607	84	7B
PH24.CDIV	0608	85	7A
PH24.AMP1L	0609	86	79
PH24.AMP1U*	060A	3A	05
PH24.AMP2L	060B	87	78
PH24.AMP2U*	060C	3B	04
PH24.AMP3L	060D	88	77
PH24.AMP3U*	060E	3C	03
PH24.AMP4L	060F	89	76
PH24.AMP4U*	0610	3D	02
PH24.AMP5L	0611	8A	75
PH24.AMP5U*	0612	3E	01
PH24.AMP6L	0613	8B	74
PH24.AMP6U*	0614	3F	00
PH24.AMP7L	0615	8C	73
PH24.AMP7U*	0616	00	3F
PH24.AMP8L	0617	8D	72
PH24.AMP8U*	0618	01	3E
PH24.AMP9L	0619	8E	71
PH24.AMP9U*	061A	02	3D
PH24.AMP10L	061B	8F	70
PH24.AMP10U*	061C	03	3C
PH24.AMP11L	061D	90	6F
PH24.AMP11U*	061E	04	3B
PH24.AMP12L	061F	91	6E
PH24.AMP12U*	0620	05	3A
PH24.AMP13L	0621	92	6D
PH24.AMP13U*	0622	06	39
PH24.AMP14L	0623	93	6C
PH24.AMP14U*	0624	07	38
PH24.AMP15L	0625	94	6B
PH24.AMP15U*	0626	08	37
PH24.AMP16L	0627	95	6A
PH24.AMP16U*	0628	09	36
PH24.AMP17L	0629	96	69
PH24.AMP17U*	062A	0A	35
PH24.AMP18L	062B	97	68
PH24.AMP18U*	062C	0B	34
PH24.AMP19L	062D	98	67
PH24.AMP19U*	062E	0C	33
PH24.AMP20L	062F	99	66
PH24.AMP20U*	0630	0D	32
PH24.AMP21L	0631	9A	65
PH24.AMP21U*	0632	0E	31
PH24.AMP22L	0633	9B	64
PH24.AMP22U*	0634	0F	30
PH24.AMP23L	0635	9C	63
PH24.AMP23U*	0636	10	2F
PH24.AMP24L	0637	9D	62
PH24.AMP24U*	0638	11	2E
PH24.AMP25L	0639	9E	61
PH24.AMP25U*	063A	12	2D
PH24.AMP26L	063B	9F	60
PH24.AMP26U*	063C	13	2C
PH24.PG_TIMEOUT	063D	A0	5F
---	063E	---	---
---	063F	---	---
