Register	Address	Value1	Value2
PH4.OFST	0105	9A	65
PH4.DLYL	0106	9B	64
PH4.DLYU	0107	9C	63
PH4.CDIV	0108	9D	62
PH4.AMP1L	0109	9E	61
PH4.AMP1U*	010A	09	36
PH4.AMP2L	010B	9F	60
PH4.AMP2U*	010C	0A	35
PH4.AMP3L	010D	A0	5F
PH4.AMP3U*	010E	0B	34
PH4.AMP4L	010F	A1	5E
PH4.AMP4U*	0110	0C	33
PH4.AMP5L	0111	A2	5D
PH4.AMP5U*	0112	0D	32
PH4.AMP6L	0113	A3	5C
PH4.AMP6U*	0114	0E	31
PH4.AMP7L	0115	A4	5B
PH4.AMP7U*	0116	0F	30
PH4.AMP8L	0117	A5	5A
PH4.AMP8U*	0118	10	2F
PH4.AMP9L	0119	A6	59
PH4.AMP9U*	011A	11	2E
PH4.AMP10L	011B	A7	58
PH4.AMP10U*	011C	12	2D
PH4.AMP11L	011D	A8	57
PH4.AMP11U*	011E	13	2C
PH4.AMP12L	011F	A9	56
PH4.AMP12U*	0120	14	2B
PH4.AMP13L	0121	AA	55
PH4.AMP13U*	0122	15	2A
PH4.AMP14L	0123	AB	54
PH4.AMP14U*	0124	16	29
PH4.AMP15L	0125	AC	53
PH4.AMP15U*	0126	17	28
PH4.AMP16L	0127	AD	52
PH4.AMP16U*	0128	18	27
PH4.AMP17L	0129	AE	51
PH4.AMP17U*	012A	19	26
PH4.AMP18L	012B	AF	50
PH4.AMP18U*	012C	1A	25
PH4.AMP19L	012D	B0	4F
PH4.AMP19U*	012E	1B	24
PH4.AMP20L	012F	B1	4E
PH4.AMP20U*	0130	1C	23
PH4.AMP21L	0131	B2	4D
PH4.AMP21U*	0132	1D	22
PH4.AMP22L	0133	B3	4C
PH4.AMP22U*	0134	1E	21
PH4.AMP23L	0135	B4	4B
PH4.AMP23U*	0136	1F	20
PH4.AMP24L	0137	B5	4A
PH4.AMP24U*	0138	20	1F
PH4.AMP25L	0139	B6	49
PH4.AMP25U*	013A	21	1E
PH4.AMP26L	013B	B7	48
PH4.AMP26U*	013C	22	1D
PH4.PG_TIMEOUT	013D	B8	47
---	013E	---	---
---	013F	---	---
PH5.CTL1*	0140	B7	40
PH5.CTL2*	0141	23	1C
PH5.STPA	0142	B9	46
PH5.STPB	0143	BA	45
PH5.STPC	0144	BB	44
PH5.OFST	0145	BC	43
PH5.DLYL	0146	BD	42
PH5.DLYU	0147	BE	41
PH5.CDIV	0148	BF	40
PH5.AMP1L	0149	C0	3F
PH5.AMP1U*	014A	24	1B
PH5.AMP2L	014B	C1	3E
PH5.AMP2U*	014C	25	1A
PH5.AMP3L	014D	C2	3D
PH5.AMP3U*	014E	26	19
PH5.AMP4L	014F	C3	3C
PH5.AMP4U*	0150	27	18
PH5.AMP5L	0151	C4	3B
PH5.AMP5U*	0152	28	17
PH5.AMP6L	0153	C5	3A
PH5.AMP6U*	0154	29	16
PH5.AMP7L	0155	C6	39
PH5.AMP7U*	0156	2A	15
PH5.AMP8L	0157	C7	38
PH5.AMP8U*	0158	2B	14
PH5.AMP9L	0159	C8	37
PH5.AMP9U*	015A	2C	13
PH5.AMP10L	015B	C9	36
PH5.AMP10U*	015C	2D	12
PH5.AMP11L	015D	CA	35
PH5.AMP11U*	015E	2E	11
PH5.AMP12L	015F	CB	34
PH5.AMP12U*	0160	2F	10
PH5.AMP13L	0161	CC	33
PH5.AMP13U*	0162	30	0F
PH5.AMP14L	0163	CD	32
PH5.AMP14U*	0164	31	0E
PH5.AMP15L	0165	CE	31
PH5.AMP15U*	0166	32	0D
PH5.AMP16L	0167	CF	30
PH5.AMP16U*	0168	33	0C
PH5.AMP17L	0169	D0	2F
PH5.AMP17U*	016A	34	0B
PH5.AMP18L	016B	D1	2E
PH5.AMP18U*	016C	35	0A
PH5.AMP19L	016D	D2	2D
PH5.AMP19U*	016E	36	09
PH5.AMP20L	016F	D3	2C
PH5.AMP20U*	0170	37	08
PH5.AMP21L	0171	D4	2B
PH5.AMP21U*	0172	38	07
PH5.AMP22L	0173	D5	2A
PH5.AMP22U*	0174	39	06
PH5.AMP23L	0175	D6	29
PH5.AMP23U*	0176	3A	05
PH5.AMP24L	0177	D7	28
PH5.AMP24U*	0178	3B	04
PH5.AMP25L	0179	D8	27
PH5.AMP25U*	017A	3C	03
PH5.AMP26L	017B	D9	26
PH5.AMP26U*	017C	3D	02
PH5.PG_TIMEOUT	017D	DA	25
---	017E	---	---
---	017F	---	---
PH6.CTL1*	0180	D7	20
PH6.CTL2*	0181	3E	01
PH6.STPA	0182	DB	24
PH6.STPB	0183	DC	23
PH6.STPC	0184	DD	22
PH6.OFST	0185	DE	21
PH6.DLYL	0186	DF	20
PH6.DLYU	0187	E0	1F
PH6.CDIV	0188	E1	1E
PH6.AMP1L	0189	E2	1D
PH6.AMP1U*	018A	3F	00
PH6.AMP2L	018B	E3	1C
PH6.AMP2U*	018C	00	3F
PH6.AMP3L	018D	E4	1B
PH6.AMP3U*	018E	01	3E
PH6.AMP4L	018F	E5	1A
PH6.AMP4U*	0190	02	3D
PH6.AMP5L	0191	E6	19
PH6.AMP5U*	0192	03	3C
PH6.AMP6L	0193	E7	18
PH6.AMP6U*	0194	04	3B
PH6.AMP7L	0195	E8	17
PH6.AMP7U*	0196	05	3A
PH6.AMP8L	0197	E9	16
PH6.AMP8U*	0198	06	39
PH6.AMP9L	0199	EA	15
PH6.AMP9U*	019A	07	38
PH6.AMP10L	019B	EB	14
PH6.AMP10U*	019C	08	37
PH6.AMP11L	019D	EC	13
PH6.AMP11U*	019E	09	36
PH6.AMP12L	019F	ED	12
PH6.AMP12U*	01A0	0A	35
PH6.AMP13L	01A1	EE	11
PH6.AMP13U*	01A2	0B	34
PH6.AMP14L	01A3	EF	10
PH6.AMP14U*	01A4	0C	33
PH6.AMP15L	01A5	F0	0F
PH6.AMP15U*	01A6	0D	32
PH6.AMP16L	01A7	F1	0E
PH6.AMP16U*	01A8	0E	31
PH6.AMP17L	01A9	F2	0D
PH6.AMP17U*	01AA	0F	30
PH6.AMP18L	01AB	F3	0C
PH6.AMP18U*	01AC	10	2F
PH6.AMP19L	01AD	F4	0B
PH6.AMP19U*	01AE	11	2E
PH6.AMP20L	01AF	F5	0A
PH6.AMP20U*	01B0	12	2D
PH6.AMP21L	01B1	F6	09
PH6.AMP21U*	01B2	13	2C
PH6.AMP22L	01B3	F7	08
PH6.AMP22U*	01B4	14	2B
PH6.AMP23L	01B5	F8	07
PH6.AMP23U*	01B6	15	2A
PH6.AMP24L	01B7	F9	06
PH6.AMP24U*	01B8	16	29
PH6.AMP25L	01B9	FA	05
PH6.AMP25U*	01BA	17	28
PH6.AMP26L	01BB	FB	04
PH6.AMP26U*	01BC	18	27
PH6.PG_TIMEOUT	01BD	FC	03
---	01BE	---	---
---	01BF	---	---
PH7.CTL1*	01C0	F6	01
PH7.CTL2*	01C1	19	26
PH7.STPA	01C2	FD	02
PH7.STPB	01C3	FE	01
PH7.STPC	01C4	FF	00
PH7.OFST	01C5	01	FE
PH7.DLYL	01C6	02	FD
PH7.DLYU	01C7	03	FC
