110,-3,-6,6,-8,,-0.75,-1.5,1.5,-2,,-0.00075,-0.0015,0.0015,-0.002,,-0.0075,-0.015,0.015,-0.02
111,0,-2,8,-3,,0,-0.5,2,-0.75,,0,-0.0005,0.002,-0.00075,,0,-0.005,0.02,-0.0075
112,-2,3,-10,6,,-0.5,0.75,-2.5,1.5,,-0.0005,0.00075,-0.0025,0.0015,,-0.005,0.0075,-0.025,0.015
113,-2,-3,0,4,,-0.5,-0.75,0,1,,-0.0005,-0.00075,0,0.001,,-0.005,-0.0075,0,0.01
114,9,10,-30,0,,2.25,2.5,-7.5,0,,0.00225,0.0025,-0.0075,0,,0.0225,0.025,-0.075,0
115,6,3,-19,0,,1.5,0.75,-4.75,0,,0.0015,0.00075,-0.00475,0,,0.015,0.0075,-0.0475,0
116,2,3,-11,-2,,0.5,0.75,-2.75,-0.5,,0.0005,0.00075,-0.00275,-0.0005,,0.005,0.0075,-0.0275,-0.005
117,2,-3,-5,0,,0.5,-0.75,-1.25,0,,0.0005,-0.00075,-0.00125,0,,0.005,-0.0075,-0.0125,0
118,-6,-4,-7,-2,,-1.5,-1,-1.75,-0.5,,-0.0015,-0.001,-0.00175,-0.0005,,-0.015,-0.01,-0.0175,-0.005
119,-11,2,-1,-4,,-2.75,0.5,-0.25,-1,,-0.00275,0.0005,-0.00025,-0.001,,-0.0275,0.005,-0.0025,-0.01
120,-1,4,3,5,,-0.25,1,0.75,1.25,,-0.00025,0.001,0.00075,0.00125,,-0.0025,0.01,0.0075,0.0125
121,-2,2,-2,-4,,-0.5,0.5,-0.5,-1,,-0.0005,0.0005,-0.0005,-0.001,,-0.005,0.005,-0.005,-0.01
122,-8,-7,24,-13,,-2,-1.75,6,-3.25,,-0.002,-0.00175,0.006,-0.00325,,-0.02,-0.0175,0.06,-0.0325
123,-12,-5,16,-3,,-3,-1.25,4,-0.75,,-0.003,-0.00125,0.004,-0.00075,,-0.03,-0.0125,0.04,-0.0075
124,-6,-6,13,-5,,-1.5,-1.5,3.25,-1.25,,-0.0015,-0.0015,0.00325,-0.00125,,-0.015,-0.015,0.0325,-0.0125
125,-5,-7,17,-5,,-1.25,-1.75,4.25,-1.25,,-0.00125,-0.00175,0.00425,-0.00125,,-0.0125,-0.0175,0.0425,-0.0125
126,-7,-5,10,-8,,-1.75,-1.25,2.5,-2,,-0.00175,-0.00125,0.0025,-0.002,,-0.0175,-0.0125,0.025,-0.02
127,10,-1,1,5,,2.5,-0.25,0.25,1.25,,0.0025,-0.00025,0.00025,0.00125,,0.025,-0.0025,0.0025,0.0125
128,3,-8,-10,1,,0.75,-2,-2.5,0.25,,0.00075,-0.002,-0.0025,0.00025,,0.0075,-0.02,-0.025,0.0025
129,0,7,-5,-5,,0,1.75,-1.25,-1.25,,0,0.00175,-0.00125,-0.00125,,0,0.0175,-0.0125,-0.0125
130,9,3,-23,4,,2.25,0.75,-5.75,1,,0.00225,0.00075,-0.00575,0.001,,0.0225,0.0075,-0.0575,0.01
